Year,Country,Science,Science_se,,SES,Se,Sci Interest,,,,,From nces,,,
2009,Indonesia,383,,,,,,,,,,,Liechtenstein,522.1610323,4.103441726
2009,Argentina,401,,,,,,,,,,,Lithuania,487.9566983,2.756917423
2009,Kazakhstan,400,,,,,,,,,,,Macao-China,510.8397229,1.057124106
2009,Albania,391,,,,,,,,,,,"Montenegro, Republic of",411.7884284,1.064087385
2009,Qatar,379,,,,,,,,,,,Panama,—,†
2009,Panama,376,,,,,,,,,,,Peru,—,†
2009,Peru,369,,,,,,,,,,,Qatar,349.3131452,0.855206348
2009,Azerbaijan,373,,,,,,,,,,,Romania,418.3863726,4.199982843
2009,Kyrgyzstan,330,,,,,,,,,,,Russian Federation,479.4704173,3.665885668
2003,Australia,525.054499,2.098048932,,,,,,,,,,"Serbia, Republic of",435.6363447,3.036447797
2003,Austria,490.9846035,3.440698597,,,,,,,,,,Shanghai-China,—,†
2003,Belgium,508.8289823,2.475909695,,,,,,,,,,Singapore,—,†
2003,Brazil,389.6196365,4.348245451,,,,,,,,,,Thailand,421.0114694,2.143365636
2003,Canada,518.7451636,2.015682231,,,,,,,,,,Trinidad and Tobago,—,†
2003,Czech Republic,523.2537295,3.379234944,,,,,,,,,,Tunisia,385.506714,2.95747558
2003,Denmark,475.2226705,2.969866118,,,,,,,,,,Uruguay,428.133885,2.748540749
2003,Finland,548.2250016,1.923799558,,,,,,,,,,,,
2003,France,511.2254575,2.992292323,,,,,,,,,,,,
2003,Germany,502.3364763,3.635807856,,,,,,,,,,,,
2003,Greece,481.022265,3.819268752,,,,,,,,,,,,
2003,Hong Kong-China,539.4975171,4.259956227,,,,,,,,,,,,
2003,Hungary,503.2788655,2.771858351,,,,,,,,,,,,
2003,Iceland,494.7452495,1.468300411,,,,,,,,,,,,
2003,Indonesia,395.04239,3.210733344,,,,,,,,,,,,
2003,Ireland,505.3908395,2.690956401,,,,,,,,,,,,
2003,Italy,486.4542137,3.129026487,,,,,,,,,,,,
2003,Japan,547.6382344,4.142434464,,,,,,,,,,,,
2003,Korea,538.4251064,3.538438231,,,,,,,,,,,,
2003,Latvia,489.1249171,3.88595059,,,,,,,,,,,,
2003,Liechtenstein,525.1754095,4.33054897,,,,,,,,,,,,
2003,Luxembourg,482.763997,1.499261264,,,,,,,,,,,,
2003,Macao-China,524.6836882,3.03085201,,,,,,,,,,,,
2003,Mexico,404.8961673,3.487525913,,,,,,,,,,,,
2003,Netherlands,524.3687064,3.145278804,,,,,,,,,,,,
2003,New Zealand,520.9042747,2.354377868,,,,,,,,,,,,
2003,Norway,484.1812491,2.873193577,,,,,,,,,,,,
2003,OECD Average,499.6118588,0.595157892,,,,,,,,,,,,
2003,Poland,497.780127,2.863531337,,,,,,,,,,,,
2003,Portugal,467.7351214,3.462123197,,,,,,,,,,,,
2003,Russian Federation,489.286127,4.144472622,,,,,,,,,,,,
2003,Serbia,436.3736957,3.498065478,,,,,,,,,,,,
2003,Slovak Republic,494.8583834,3.710371061,,,,,,,,,,,,
2003,Spain,487.0925695,2.613250922,,,,,,,,,,,,
2003,Sweden,506.1240974,2.724930888,,,,,,,,,,,,
2003,Switzerland,512.9755341,3.685418711,,,,,,,,,,,,
2003,Thailand,429.0603781,2.701150657,,,,,,,,,,,,
2003,Tunisia,384.6794219,2.560539718,,,,,,,,,,,,
2003,Turkey,434.2233831,5.88916173,,,,,,,,,,,,
2003,United States,491.2634628,3.078926322,,,,,,,,,,,,
2003,Uruguay,438.3730127,2.895130526,,,,,,,,,,,,
